"诊疗编码","诊疗名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","人次限制","次数限制","数量限制","额度限制","疗程限制","领域标识"
"003315010360100","椎管扩大减压术(多节段椎管狭窄减压)","","","","","","","",,,3,,,"骨科"
"003309000050000","腹股沟淋巴结清扫术","","","","","","","",,,1,,,"普外"
"003204000010400","经皮瓣膜球囊成形术(肺动脉瓣球囊成形术)","","","","","","","",,,3,,,"介入治疗"
"003310080020000","嵌顿疝复位修补术","","","","","","","",,,1,,,"普外"
"003106010030000","运动心肺功能检查","","","","","","","",,,1,,,"一般诊疗"
"003316030420000","深度烧伤死骨摘除术","","","","","","","",,,2,,,"骨科"
"003304040030000","角膜缝环固定术","","","","","","","",,,1,,,"眼科"
"003316030280000","带毛囊游离皮肤移植术","","","","","","","",,,10,,,"普外"
"003401000040100","紫外线治疗(长波紫外线)","","","","","","","",,,2,,20,"物理治疗"
"003306080070000","髁状突陈旧性骨折整复术","","","","","","","",,,1,,,"骨科"
"003316040190000","足底缺损修复术","","","","","","","",,,2,,,"骨科"
"003315010280000","颈椎骨折脱位手术复位植骨融合内固定术","","","","","","","",,,3,,,"骨科"
